,zipcode16,hsanum,hsacity,hsastate,hrrnum,hrrcity,hrrstate,icu_beds
0,501,33095,Patchogue,NY,301,East Long Island,NY,3.641434262948207
1,1001,22058,Springfield,MA,230,Springfield,MA,1.5426356589147288
2,1002,22046,Northampton,MA,230,Springfield,MA,1.5426356589147288
3,1003,22046,Northampton,MA,230,Springfield,MA,1.5426356589147288
4,1004,22046,Northampton,MA,230,Springfield,MA,1.5426356589147288
5,1005,22070,Worcester,MA,231,Worcester,MA,1.797872340425532
6,1007,22063,Ware,MA,230,Springfield,MA,1.5426356589147288
7,1008,22066,Westfield,MA,230,Springfield,MA,1.5426356589147288
8,1009,22049,Palmer,MA,230,Springfield,MA,1.5426356589147288
9,1010,22057,Southbridge,MA,231,Worcester,MA,1.797872340425532
10,1011,22051,Pittsfield,MA,295,Albany,NY,0.8017241379310345
11,1012,22046,Northampton,MA,230,Springfield,MA,1.5426356589147288
12,1013,22058,Springfield,MA,230,Springfield,MA,1.5426356589147288
13,1014,22058,Springfield,MA,230,Springfield,MA,1.5426356589147288
14,1020,22058,Springfield,MA,230,Springfield,MA,1.5426356589147288
15,1021,22058,Springfield,MA,230,Springfield,MA,1.5426356589147288
16,1022,22023,Holyoke,MA,230,Springfield,MA,1.5426356589147288
17,1026,22046,Northampton,MA,230,Springfield,MA,1.5426356589147288
18,1027,22046,Northampton,MA,230,Springfield,MA,1.5426356589147288
19,1028,22058,Springfield,MA,230,Springfield,MA,1.5426356589147288
20,1029,22020,Great Barrington,MA,230,Springfield,MA,1.5426356589147288
21,1030,22058,Springfield,MA,230,Springfield,MA,1.5426356589147288
22,1031,22063,Ware,MA,230,Springfield,MA,1.5426356589147288
23,1032,22046,Northampton,MA,230,Springfield,MA,1.5426356589147288
24,1033,22023,Holyoke,MA,230,Springfield,MA,1.5426356589147288
25,1034,22066,Westfield,MA,230,Springfield,MA,1.5426356589147288
26,1035,22046,Northampton,MA,230,Springfield,MA,1.5426356589147288
27,1036,22058,Springfield,MA,230,Springfield,MA,1.5426356589147288
28,1037,22063,Ware,MA,230,Springfield,MA,1.5426356589147288
29,1038,22046,Northampton,MA,230,Springfield,MA,1.5426356589147288
30,1039,22046,Northampton,MA,230,Springfield,MA,1.5426356589147288
31,1040,22023,Holyoke,MA,230,Springfield,MA,1.5426356589147288
32,1041,22023,Holyoke,MA,230,Springfield,MA,1.5426356589147288
33,1050,22066,Westfield,MA,230,Springfield,MA,1.5426356589147288
34,1053,22046,Northampton,MA,230,Springfield,MA,1.5426356589147288
35,1054,22021,Greenfield,MA,230,Springfield,MA,1.5426356589147288
36,1056,22028,Ludlow,MA,230,Springfield,MA,1.5426356589147288
37,1057,22049,Palmer,MA,230,Springfield,MA,1.5426356589147288
38,1059,22046,Northampton,MA,230,Springfield,MA,1.5426356589147288
39,1060,22046,Northampton,MA,230,Springfield,MA,1.5426356589147288
